,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,scale,col,row.ID,study.ID,dist.inv,pr.st
3,3,65,346,m6_3_12,SA,a,abu,Abundance,sec,nat,2.5,5,p,2703,500.5626834,3,471,193.9896904,3,4.703876969,-1.747259452,0.067976513,-1.609437912,-0.916290732,-1.609437912,1.669285547,darkgreen,346,12,-0.916290732,0.026726537
2,2,64,345,m6_3_12,SA,a,abu,Abundance,sec,nat,2.5,10,p,2703,500.5626834,3,1278,533.4716487,3,2.20383997,-0.749065911,0.069513264,-2.302585093,-0.916290732,-2.302585093,1.666453915,darkgreen,345,12,-0.916290732,-0.612639252
1,1,63,344,m6_3_12,SA,a,abu,Abundance,sec,nat,2.5,35,p,2703,500.5626834,3,1428,472.8498705,3,2.094871036,-0.638087403,0.047979953,-3.555348061,-0.916290732,-3.555348061,1.713412869,darkgreen,344,12,-0.916290732,-1.768200157
4,4,66,347,m6_3_12,SA,a,abu,Abundance,sec,nat,2.5,35,p,201,171.4730299,3,180,64.08587988,3,0.129788755,-0.110348057,0.284846091,-3.555348061,-0.916290732,-3.555348061,1.487802028,darkgreen,347,12,-0.916290732,-1.768200157
5,5,67,348,m6_3_12,SA,a,abu,Abundance,sec,nat,2.5,10,p,201,171.4730299,3,503,152.4204711,3,-1.489274023,0.917285262,0.273200612,-2.302585093,-0.916290732,-2.302585093,1.493089347,darkgreen,348,12,-0.916290732,-0.612639252
6,6,68,349,m6_3_12,SA,a,abu,Abundance,sec,nat,2.5,5,p,201,171.4730299,3,634,607.9498335,3,-0.775538153,1.148744046,0.549096702,-1.609437912,-0.916290732,-1.609437912,1.404668741,darkgreen,349,12,-0.916290732,0.026726537
11,11,228,627,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,6.4,3.39411255,8,2,1.13137085,8,1.644384383,-1.16315081,0.07515625,0,NA,0,1.656567519,darkgreen,627,23,NA,1.511287925
17,17,234,633,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,4,7.071067812,8,2.3,1.697056275,8,0.312578318,-0.553385238,0.45867793,0,NA,0,1.427459052,darkgreen,633,23,NA,1.511287925
8,8,225,624,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,83.6,32.52691193,8,51.1,20.3646753,8,1.132345401,-0.492259023,0.038775566,0,NA,0,1.740391561,darkgreen,624,23,NA,1.511287925
12,12,229,628,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,1.6,1.979898987,8,1.1,1.13137085,8,0.293173009,-0.374693449,0.323637655,0,NA,0,1.471630044,darkgreen,628,23,NA,1.511287925
7,7,224,623,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,144.9,41.86072145,8,105.9,23.75878785,8,1.083367958,-0.313548597,0.016724139,0,NA,0,1.846908627,darkgreen,623,23,NA,1.511287925
9,9,226,625,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,26.8,7.636753237,8,21.1,6.505382387,8,0.759705365,-0.239128847,0.022031844,0,NA,0,1.811995305,darkgreen,625,23,NA,1.511287925
16,16,233,632,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,2.5,1.697056275,8,2,0.848528137,8,0.352350106,-0.223143551,0.0801,0,NA,0,1.648498145,darkgreen,632,23,NA,1.511287925
13,13,230,629,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,14.4,6.505382387,8,15,6.788225099,8,-0.085325879,0.040821995,0.051111188,0,NA,0,1.705405107,darkgreen,629,23,NA,1.511287925
14,14,231,630,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,1.25,1.979898987,8,1.8,3.959797975,8,-0.166107907,0.364643114,0.918538272,0,NA,0,1.339498608,darkgreen,630,23,NA,1.511287925
10,10,227,626,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,3.6,1.697056275,8,7,4.5254834,8,-0.940585219,0.664976304,0.080022676,0,NA,0,1.648620479,darkgreen,626,23,NA,1.511287925
15,15,232,631,m6_3_23,SA,a,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,0.75,0.848528137,8,2.5,3.111269837,8,-0.72556618,1.203972804,0.3536,0,NA,0,1.460414924,darkgreen,631,23,NA,1.511287925
