,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,scale,col,row.ID,study.ID,dist.inv,pr.st
2,2,4,91,4,CA,p,abu,Tree Density (no./ha),sel,NA,NA,12,p,928,76.53975002,3,979,10.60660172,2,-0.590678318,0.05349991,0.002326239,-2.48490665,NA,-2.48490665,1.989432937,darkgreen,91,4,NA,-0.753100881
1,1,3,32,4,CA,p,abu,Tree Density (no./ha),sec,NA,NA,15,p,928,76.53975002,3,1145,161.2147636,5,-1.358980215,0.210128183,0.006232417,-2.708050201,NA,-2.708050201,1.841321623,darkgreen,32,4,NA,-0.97383968
5,5,197,534,19,AF,p,abu,Mean number of accumulated records after 9 subplot surveys,sec,nat,1,15,p,308,12.4,6,286,50.9,6,0.548199224,-0.074107972,0.005549148,-2.708050201,0,-2.708050201,1.858773127,darkgreen,534,19,0,-0.97383968
4,4,196,533,19,AF,p,abu,Mean density (individuals/900 m^2),sec,nat,1,15,p,51.3,12,6,47.7,8.1,6,0.324600656,-0.072759354,0.013925596,-2.708050201,0,-2.708050201,1.7204948,darkgreen,533,19,0,-0.97383968
6,6,198,535,19,AF,p,abu,Mean number of accumulated records after 9 subplot surveys,sec,nat,1,15,p,200,26.3,6,364,111.8,6,-1.864056328,0.598836501,0.018604831,-2.708050201,0,-2.708050201,1.676957238,darkgreen,535,19,0,-0.97383968
3,3,195,532,19,AF,p,abu,Mean density (individuals/9 m^2),sec,nat,1,15,p,33.3,4.2,6,60.7,17.8,6,-1.955772689,0.600386301,0.016983451,-2.708050201,0,-2.708050201,1.690660852,darkgreen,532,19,0,-0.97383968
15,15,243,642,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,5.6,3.9,9,0.3,0.8,9,1.793027436,-2.926739402,0.844013763,-1.098612289,NA,-1.098612289,1.103643468,darkgreen,642,24,NA,0.618253796
12,12,240,639,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,8.1,3.7,9,0.6,1.1,9,2.616940377,-2.602689685,0.396640925,-1.098612289,NA,-1.098612289,1.21713215,darkgreen,639,24,NA,0.618253796
14,14,242,641,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,6.1,4.9,9,0.6,1.1,9,1.475080926,-2.319114395,0.445151974,-1.098612289,NA,-1.098612289,1.199791178,darkgreen,641,24,NA,0.618253796
9,9,237,636,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,11.9,6.6,9,1.9,2.4,9,1.917847915,-1.834684514,0.211463696,-1.098612289,NA,-1.098612289,1.311660499,darkgreen,636,24,NA,0.618253796
16,16,244,643,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,4.7,3.2,9,0.8,1.8,9,1.430689401,-1.77070606,0.614006463,-1.098612289,NA,-1.098612289,1.15145985,darkgreen,643,24,NA,0.618253796
8,8,236,635,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,16.5,21.3,9,2.9,4.4,9,0.842191946,-1.738649644,0.440940854,-1.098612289,NA,-1.098612289,1.201219671,darkgreen,635,24,NA,0.618253796
10,10,238,637,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,11.4,7.7,9,2.5,2.5,9,1.480684352,-1.517322624,0.161801922,-1.098612289,NA,-1.098612289,1.351889869,darkgreen,637,24,NA,0.618253796
21,21,250,649,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,166.9,40.7,9,36.8,17.8,9,3.944601505,-1.511896985,0.032603167,-1.098612289,NA,-1.098612289,1.592647011,darkgreen,649,24,NA,0.618253796
7,7,235,634,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,167,41,9,37,18,9,3.910316069,-1.5070759,0.032993751,-1.098612289,NA,-1.098612289,1.590857256,darkgreen,634,24,NA,0.618253796
17,17,245,644,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,3.6,3.3,9,0.8,1.8,9,1.003258041,-1.504077397,0.655864198,-1.098612289,NA,-1.098612289,1.141548561,darkgreen,644,24,NA,0.618253796
19,19,247,646,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,2.5,3.8,9,0.6,1.1,9,0.646877624,-1.427116356,0.630167901,-1.098612289,NA,-1.098612289,1.147555222,darkgreen,646,24,NA,0.618253796
11,11,239,638,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,11.4,7,9,3.1,3.4,9,1.436517291,-1.302211244,0.175550302,-1.098612289,NA,-1.098612289,1.339633406,darkgreen,638,24,NA,0.618253796
18,18,246,645,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,3.3,2.5,9,1.1,1.8,9,0.96186755,-1.098612289,0.361289664,-1.098612289,NA,-1.098612289,1.231161814,darkgreen,645,24,NA,0.618253796
13,13,241,640,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,7.8,6.4,9,3.3,2.8,9,0.867617497,-0.860201265,0.154796425,-1.098612289,NA,-1.098612289,1.358541953,darkgreen,640,24,NA,0.618253796
20,20,248,647,24,AS,p,abu,Density (trees/ha),bur,dis,NA,3,p,0.6,1.7,9,0.3,0.8,9,0.21505998,-0.693147181,1.682098765,-1.098612289,NA,-1.098612289,1,darkgreen,647,24,NA,0.618253796
23,23,281,769,32,SA,p,abu,Mean number of individuals/ha (>10 cm dbh),sec,nat,NA,20,p,523,38.18376618,2,592.5,91.21677477,2,-0.56797031,0.124769409,0.01451583,-2.995732274,NA,-2.995732274,1.71425613,darkgreen,769,32,NA,-1.258421488
22,22,280,768,32,SA,p,abu,Mean number of individuals in 4 x 10^-3 ha,sec,nat,NA,20,p,402,189.5046174,2,509.5,111.0157646,2,-0.395546476,0.236977764,0.134849483,-2.995732274,NA,-2.995732274,1.379274539,darkgreen,768,32,NA,-1.258421488
25,25,306,840,36,CA,p,abu,Woody biomass (mg/ha),sec,nat,0.5,35,p,91.67,40.35678382,12,2.17,1.56,9,2.796548335,-3.743468004,0.073574102,-3.555348061,0.693147181,-3.555348061,1.470329423,darkgreen,840,36,0.693147181,-1.812006462
24,24,305,839,36,CA,p,abu,Tree density (/ha),sec,nat,0.5,35,p,11257,3737.765643,12,3148,2241,9,2.437110355,-1.274222827,0.065495719,-3.555348061,0.693147181,-3.555348061,1.487809258,darkgreen,839,36,0.693147181,-1.812006462
26,26,320,871,39,AF,p,abu,Mean tree density,bur,nat,5,5,p,18.8,26.56576745,14,8.9,17.58578972,14,0.426658052,-0.747805593,0.421505684,-1.609437912,-1.609437912,-1.609437912,1.207994312,darkgreen,871,39,-1.609437912,0.112933189
29,29,325,880,42,SA,p,abu,Mean density (individuals/500 m^2),sel,nat,NA,5,p,5.812,2.419105206,3,7.436666667,1.708956797,3,-0.620590337,0.246497974,0.075350916,-1.609437912,NA,-1.609437912,1.466743084,darkgreen,880,42,NA,0.112933189
28,28,324,879,42,SA,p,abu,Mean density (individuals/500 m^2),sel,nat,NA,11,p,9.872,2.176262852,3,14.07625,4.222071047,3,-1.001393303,0.354786513,0.046187688,-2.397895273,NA,-2.397895273,1.540300848,darkgreen,879,42,NA,-0.6670272
27,27,323,878,42,SA,p,abu,Mean density (individuals/500 m^2),sel,nat,NA,5,p,9.872,2.176262852,3,16.4,0,3,-3.393702604,0.507578868,0.01619911,-1.609437912,NA,-1.609437912,1.697766971,darkgreen,878,42,NA,0.112933189
30,30,326,881,42,SA,p,abu,Mean density (individuals/500 m^2),sel,nat,NA,11,p,5.812,2.419105206,3,11.105,4.221915611,3,-1.230684782,0.647470712,0.105927339,-2.397895273,NA,-2.397895273,1.41555513,darkgreen,881,42,NA,-0.6670272
31,31,389,1119,61,SA,p,abu,Mean density (no. individuals/m^2),sel,nat,NA,10,p,1.49,0.760263112,5,1.43,1.13137085,8,0.055136429,-0.041101676,0.130313161,-2.302585093,NA,-2.302585093,1.38441723,darkgreen,1119,61,NA,-0.57274415
32,32,390,1120,61,SA,p,abu,Mean density (no. individuals/m^2),sel,nat,NA,4,p,1.49,0.760263112,5,1.83,0.917986928,3,-0.362216223,0.205539847,0.135948015,-1.386294361,NA,-1.386294361,1.378055193,darkgreen,1120,61,NA,0.333671988
33,33,485,1476,82,SA,p,abu,Mean understory stem density (/m^2),sel,nat,NA,1,p,3.2,1.3,6,2.7,1.1,2,0.342656698,-0.169899037,0.110496908,0,NA,0,1.409207808,darkgreen,1476,82,NA,1.705026665
36,36,488,1479,82,SA,p,abu,Mean understory stem density (/m^2),sel,nat,NA,5,p,3.2,1.3,6,3.5,1.6,2,-0.192577427,0.089612159,0.131996306,-1.609437912,NA,-1.609437912,1.382488506,darkgreen,1479,82,NA,0.112933189
34,34,486,1477,82,SA,p,abu,Mean understory stem density (/m^2),sel,nat,NA,5,p,3.2,1.3,6,7.5,5.2,2,-1.537422529,0.851752211,0.267862066,-1.609437912,NA,-1.609437912,1.2761294,darkgreen,1477,82,NA,0.112933189
35,35,487,1478,82,SA,p,abu,Mean understory stem density (/m^2),sel,nat,NA,5,p,3.2,1.3,6,9,5.6,2,-1.957986484,1.034073768,0.221086757,-1.609437912,NA,-1.609437912,1.304972369,darkgreen,1478,82,NA,0.112933189
37,37,489,1489,83,AS,p,abu,Mean density (no./ha),sel,dis,3,30,p,701.3,28.21356057,2,453,23.61736649,2,5.45354398,-0.43704363,0.002168295,-3.401197382,-1.098612289,-3.401197382,2,darkgreen,1489,83,-1.098612289,-1.659517019
38,38,645,1705,100,AS,p,abu,Density of trees (indiv/plot),bur,nat,2,3,p,297.5,44.4,4,174.7,48.2,3,2.250123091,-0.532344008,0.030942308,-1.098612289,-0.693147181,-1.098612289,1.600504857,darkgreen,1705,100,-0.693147181,0.618253796
39,39,646,1706,100,AS,p,abu,Density of trees (indiv/plot),bur,nat,12,3,p,297.5,44.4,4,229.7,19.9,3,1.55899982,-0.258640115,0.00807028,-1.098612289,-2.48490665,-1.098612289,1.802483409,darkgreen,1706,100,-2.48490665,0.618253796
40,40,649,1722,104,AS,p,abu,Above-ground biomass (t),sec,nat,0.25,55,p,89.6,11.43153533,3,66,23.55589098,3,1.019751265,-0.305700578,0.047886874,-4.007333185,1.386294361,-4.007333185,1.534871189,darkgreen,1722,104,1.386294361,-2.259120676
41,41,694,1877,120,SA,p,abu,Mean number of individuals (/.04 ha),sel,nat,3.7,1,p,14,2.236067977,5,11.5,1.979898987,8,1.119838893,-0.196710294,0.008807145,0,-1.30833282,0,1.789351903,darkgreen,1877,120,-1.30833282,1.705026665
43,43,696,1879,120,SA,p,abu,Mean understorey density,sel,nat,3.7,1,p,5.3,1.118033989,5,6.8,1.414213562,8,-1.06170127,0.249215792,0.014306539,0,-1.30833282,0,1.71643879,darkgreen,1879,120,-1.30833282,1.705026665
42,42,695,1878,120,SA,p,abu,Mean number of palms (/.04 ha),sel,nat,3.7,1,p,0.7,1.118033989,5,1.1,2.2627417,8,-0.193110106,0.451985124,1.039129702,0,-1.30833282,0,1.072387907,darkgreen,1878,120,-1.30833282,1.705026665
44,44,743,1963,123,SA,p,abu,Mean abundance,sec,nat,3.2,12,p,180.35,126.86,6,9.95,6.22,6,1.751363858,-2.897326856,0.147594622,-2.48490665,-1.16315081,-2.48490665,1.365701921,darkgreen,1963,123,-1.16315081,-0.753100881
