"stressor_SMDH","es","power","effect","es_cat","number"
"BD loss 1",0.756007368649395,0.000108773192268976,"cMAOM","a.Intercept_es",1
"BD loss 2",0.423749822777383,0.00602964779398968,"cMAOM","a.Intercept_es",2
"Fert 1",1.0264693229314,0.00608367274776194,"cMAOM","a.Intercept_es",3
"Fert 2",1.12229591265631,0.00255711352148367,"cMAOM","a.Intercept_es",4
"Fert 3",2.43512165920387,1.45881746380654e-05,"cMAOM","a.Intercept_es",5
"LUC 1",0.972891591104667,0.00372458477725095,"cMAOM","a.Intercept_es",6
"LUC 2",0.522712434002991,0.037946879400477,"cMAOM","a.Intercept_es",7
"LUC 3",0.671937043422219,0.0230428931936967,"cMAOM","a.Intercept_es",8
"LUC 4",0.714836397128482,0.0118447013066232,"cMAOM","a.Intercept_es",9
"LUC 5",0.0520250566358407,0.425821240925188,"cMAOM","a.Intercept_es",10
"LUC 6",0.0877137969082465,0.228811687161944,"cMAOM","a.Intercept_es",11
"Inv 1",5.0538918928308,2.73962340236426e-20,"cMAOM","a.Intercept_es",12
"BD loss 1",0.771846076034586,8.91858454703116e-05,"MAOM","a.Intercept_es",13
"BD loss 2",0.423749822777383,0.00602964779398968,"MAOM","a.Intercept_es",14
"Fert 1",1.86405547965554,8.47226584690752e-05,"MAOM","a.Intercept_es",15
"Fert 2",1.66839141633865,0.000129290649664966,"MAOM","a.Intercept_es",16
"Fert 3",2.43512165920387,1.45881746380654e-05,"MAOM","a.Intercept_es",17
"LUC 1",0.972891591104667,0.00372458477725095,"MAOM","a.Intercept_es",18
"LUC 2",0.522712434002991,0.037946879400477,"MAOM","a.Intercept_es",19
"LUC 3",0.671937043422219,0.0230428931936967,"MAOM","a.Intercept_es",20
"LUC 4",0.714836397128482,0.0118447013066232,"MAOM","a.Intercept_es",21
"LUC 5",0.0520250566358407,0.425821240925188,"MAOM","a.Intercept_es",22
"LUC 6",0.102851456318519,0.1938975198326,"MAOM","a.Intercept_es",23
"Inv 1",5.87455416937041,2.79207488201114e-25,"MAOM","a.Intercept_es",24
"BD loss 1",0.756007368649395,0.00134288532816919,"cESSP","b.BLUP_es",25
"BD loss 2",0.423749822777383,0.0806640912676324,"cESSP","b.BLUP_es",26
"Fert 1",1.0264693229314,0.00993233441708532,"cESSP","b.BLUP_es",27
"Fert 2",1.12229591265631,0.0136315652118582,"cESSP","b.BLUP_es",28
"Fert 3",2.43512165920387,0.000463450867047497,"cESSP","b.BLUP_es",29
"LUC 1",0.972891591104667,0.0261683690760341,"cESSP","b.BLUP_es",30
"LUC 2",0.522712434002991,0.00166243376747097,"cESSP","b.BLUP_es",31
"LUC 3",0.671937043422219,0.012699563129004,"cESSP","b.BLUP_es",32
"LUC 4",0.714836397128482,0.0039569751132388,"cESSP","b.BLUP_es",33
"LUC 5",0.0520250566358407,0.216152691488234,"cESSP","b.BLUP_es",34
"LUC 6",0.0877137969082465,0.00309435286546767,"cESSP","b.BLUP_es",35
"Inv 1",5.0538918928308,5.21466770913644e-16,"cESSP","b.BLUP_es",36
"BD loss 1",0.771846076034586,0.00119987239029624,"ESSP","b.BLUP_es",37
